"userid","module","rank","Cluster","order","nextOrder"
3285,"m9",3,1,3,3
2821,"m9",3,2,9,8
3185,"m9",3,3,6,4
2442,"m9",3,4,8,8
2674,"m9",3,5,9,6
3032,"m9",3,6,9,9
2388,"m9",3,7,9,7
2358,"m9",3,4,8,8
4146,"m9",3,6,9,9
74,"m9",3,5,9,6
3204,"m9",3,8,6,2
3461,"m9",3,9,8,9
4411,"m9",3,6,9,9
2409,"m9",3,10,6,6
2687,"m9",3,2,9,8
2557,"m9",3,2,9,8
2327,"m9",3,11,7,4
3000,"m9",3,2,9,8
2424,"m9",3,12,8,2
2523,"m9",3,13,8,6
2553,"m9",3,14,6,8
3385,"m9",3,7,9,7
2901,"m9",3,2,9,8
3272,"m9",3,9,8,9
2319,"m9",3,10,6,6
2458,"m9",3,15,8,7
2341,"m9",3,16,9,2
2707,"m9",3,10,6,6
2769,"m9",3,17,5,9
2535,"m9",3,4,8,8
2435,"m9",3,18,6,9
2664,"m9",3,14,6,8
2532,"m9",3,19,9,4
2350,"m9",3,5,9,6
3030,"m9",3,4,8,8
3407,"m9",3,6,9,9
2351,"m9",3,6,9,9
3298,"m9",3,20,4,4
2485,"m9",3,4,8,8
2422,"m9",3,21,1,4
4085,"m9",3,6,9,9
2352,"m9",3,22,7,8
2613,"m9",3,9,8,9
2708,"m9",3,2,9,8
2495,"m9",3,6,9,9
4166,"m9",3,14,6,8
2386,"m9",3,4,8,8
2461,"m9",3,23,5,7
3800,"m9",3,2,9,8
2941,"m9",3,12,8,2
2952,"m9",3,24,9,5
2948,"m9",3,3,6,4
2318,"m9",3,25,3,5
4309,"m9",3,6,9,9
3133,"m9",3,6,9,9
3866,"m9",3,3,6,4
2502,"m9",3,4,8,8
2392,"m9",3,4,8,8
2815,"m9",3,6,9,9
2800,"m9",3,2,9,8
3708,"m9",3,2,9,8
3058,"m9",3,9,8,9
2570,"m9",3,8,6,2
2788,"m9",3,2,9,8
2398,"m9",3,19,9,4
2741,"m9",3,4,8,8
2703,"m9",3,6,9,9
