"userid","ModEffort","nextmod","Cluster"
2315,8,6,1
2367,6,8,2
2377,6,6,3
2446,6,6,3
2477,4,5,4
2515,1,6,5
2529,9,6,6
2586,8,8,7
2636,7,6,8
2637,6,6,3
2643,8,8,7
2646,8,9,9
2660,6,6,3
2718,1,9,10
2719,6,5,11
2724,8,6,1
2748,8,6,1
2773,6,8,2
2886,9,8,12
2896,6,6,3
2956,6,6,3
2960,5,6,13
2989,8,5,14
3007,9,4,15
3068,5,5,16
3070,8,8,7
3189,8,6,1
3198,6,6,3
3217,9,9,17
3294,6,6,3
3310,6,2,18
3366,8,8,7
3395,1,3,19
3428,8,6,1
3514,9,8,12
3692,5,8,20
3715,6,5,11
3724,1,8,21
3799,4,5,4
3881,8,6,1
3890,8,8,7
3894,1,3,19
3903,8,4,22
3931,6,6,3
3967,6,6,3
3971,6,9,23
4049,9,8,12
4131,8,8,7
4150,1,8,21
4165,4,4,24
4193,1,1,25
4279,6,6,3
4289,2,8,26
4400,8,6,1
4410,1,1,25
4413,9,9,17
4452,6,6,3
4489,6,8,2
4606,9,4,15
4723,8,6,1
4731,8,8,7
4742,9,6,6
4758,9,5,27
4833,5,5,16
4917,5,8,20
5195,8,8,7
5210,1,4,28
5299,1,1,25
5377,5,9,29
