"userid","ModEffort","nextmod","Cluster"
2383,8,9,1
2389,9,9,2
2390,8,2,3
2391,6,6,4
2400,6,8,5
2414,8,6,6
2416,4,3,7
2420,9,3,8
2425,9,8,9
2443,7,2,10
2448,9,4,11
2492,3,8,12
2496,8,9,1
2498,3,8,12
2504,9,5,13
2508,6,6,4
2512,4,5,14
2513,6,6,4
2514,7,2,10
2519,6,6,4
2534,9,6,15
2600,8,8,16
2604,3,3,17
2694,4,9,18
2767,9,8,9
2787,2,2,19
2789,6,4,20
2803,9,2,21
2857,3,2,22
2883,5,5,23
2912,6,4,20
2918,9,4,11
2969,8,6,6
2994,8,7,24
3026,9,8,9
3029,9,9,2
3048,9,9,2
3072,3,5,25
3088,6,8,5
3126,3,4,26
3166,9,3,8
3187,8,6,6
3219,7,5,27
3229,9,9,2
3254,9,8,9
3256,5,4,28
3289,3,6,29
3303,8,8,16
3326,9,9,2
3421,9,9,2
3426,9,2,21
3448,8,8,16
3476,9,9,2
3757,6,8,5
3817,8,9,1
3848,3,7,30
3912,3,3,17
3952,8,9,1
4035,9,3,8
4043,8,3,31
4047,1,2,32
4052,8,8,16
4062,5,3,33
4229,5,6,34
4300,6,9,35
4358,9,3,8
4407,4,3,7
4434,6,8,5
4460,9,6,15
