"userid","ModEffort","nextmod","Cluster"
74,8,2,1
2318,5,3,2
2319,8,3,3
2327,7,3,4
2328,9,9,5
2341,9,8,6
2350,6,9,7
2351,9,9,5
2352,8,8,8
2358,6,9,7
2386,6,9,7
2388,8,8,8
2392,6,9,7
2398,8,9,9
2409,3,9,10
2422,7,9,11
2424,9,9,5
2435,8,8,8
2442,8,8,8
2458,7,8,12
2461,7,9,11
2485,8,8,8
2495,8,8,8
2502,9,9,5
2523,6,6,13
2532,6,8,14
2535,7,9,11
2553,8,8,8
2557,6,8,14
2570,9,9,5
2613,8,6,15
2664,8,6,15
2674,8,9,9
2687,7,9,11
2703,8,9,9
2707,7,9,11
2708,8,8,8
2741,8,9,9
2769,3,9,10
2788,8,9,9
2800,8,8,8
2815,9,9,5
2821,8,8,8
2901,8,9,9
2941,8,9,9
2948,8,9,9
2952,4,9,16
3000,8,9,9
3030,9,9,5
3032,9,9,5
3058,5,9,17
3133,7,9,11
3185,8,3,3
3204,8,8,8
3272,9,9,5
3285,4,6,18
3298,7,9,11
3385,8,9,9
3407,5,9,17
3461,9,6,19
3708,8,9,9
3800,9,9,5
3866,8,9,9
3901,9,9,5
4085,4,9,16
4146,9,8,6
4166,9,5,20
4309,9,9,5
4411,5,9,17
